Game_ID	Week	Home	Away	Home_Pts	Away_Pts
1	1	ATL	DEN	24	31
2	1	BUF	CHI	23	20
3	1	BUF	CHI	23	20
4	1	CAR	TB	20	14
5	1	CAR	TB	20	14
6	1	CIN	BAL	23	16
7	1	CIN	BAL	23	16
8	1	CLE	PIT	27	30
9	1	CLE	PIT	27	30
10	1	GB	SEA	16	36
11	1	GB	SEA	16	36
12	1	IND	DEN	24	31
13	1	IND	DEN	24	31
14	1	JAC	PHI	17	34
15	1	JAC	PHI	17	34
16	1	MIN	STL	34	6
17	1	MIN	STL	34	6
18	1	MIN	STL	34	6
19	1	NE	MIA	20	33
20	1	NE	MIA	20	33
21	1	NO	ATL	34	37
22	1	NO	ATL	34	37
23	1	NYG	DET	14	35
24	1	NYG	DET	14	35
25	1	OAK	NYJ	14	19
26	1	OAK	NYJ	14	19
27	1	OAK	NYJ	14	19
28	1	SD	ARI	17	18
29	1	SD	ARI	17	18
30	1	SF	DAL	28	17
31	1	SF	DAL	28	17
32	1	TEN	KC	26	10
33	1	TEN	KC	26	10
34	1	WAS	HOU	6	17
35	1	WAS	HOU	6	17
36	2	ARI	NYG	25	14
37	2	ARI	NYG	25	14
38	2	ATL	CIN	10	24
39	2	ATL	CIN	10	24
40	2	CHI	SF	28	20
41	2	CHI	SF	28	20
42	2	DAL	TEN	26	10
43	2	DAL	TEN	26	10
44	2	DET	CAR	7	24
45	2	DET	CAR	7	24
46	2	HOU	OAK	30	14
47	2	HOU	OAK	30	14
48	2	HOU	OAK	30	14
49	2	JAC	WAS	10	41
50	2	JAC	WAS	10	41
51	2	JAC	WAS	10	41
52	2	KC	DEN	17	24
53	2	KC	DEN	17	24
54	2	MIA	BUF	10	29
55	2	MIA	BUF	10	29
56	2	NE	MIN	30	7
57	2	NE	MIN	30	7
58	2	NO	CLE	24	26
59	2	NO	CLE	24	26
60	2	NYJ	GB	24	31
61	2	NYJ	GB	24	31
62	2	NYJ	GB	24	31
63	2	PHI	IND	30	27
64	2	PHI	ATL	30	27
65	2	PHI	IND	30	27
66	2	PIT	BAL	6	26
67	2	PIT	BAL	6	26
68	2	SEA	SD	21	30
69	2	SEA	SD	21	30
70	2	STL	TB	19	17
71	2	STL	TB	19	17
72	3	ATL	JAC	44	17
73	3	BAL	CLE	23	21
74	3	BAL	CLE	23	21
75	3	CHI	NYJ	27	19
76	3	CHI	NYJ	27	19
77	3	CHI	NYJ	27	19
78	3	DAL	STL	34	31
79	3	DAL	STL	34	31
80	3	DEN	SEA	20	26
81	3	DEN	SEA	20	26
82	3	GB	DET	7	19
83	3	GB	DET	7	19
84	3	HOU	NYG	17	30
85	3	HOU	NYG	17	30
86	3	IND	JAC	44	17
87	3	IND	JAC	44	17
88	3	IND	JAC	44	17
89	3	IND	JAC	44	17
90	3	KC	MIA	34	15
91	3	KC	MIA	34	15
92	3	MIN	NO	9	20
93	3	MIN	NO	9	20
94	3	MIN	NO	9	20
95	3	OAK	NE	9	16
96	3	OAK	NE	9	16
97	3	PIT	CAR	37	19
98	3	PIT	CAR	37	19
99	3	PIT	CAR	37	19
100	3	SD	BUF	22	10
101	3	SD	BUF	22	10
102	3	SF	ARI	14	23
103	3	SF	ARI	14	23
104	3	TB	ATL	14	56
105	3	TB	ATL	14	56
106	3	TB	ATL	14	56
107	3	TEN	CIN	7	33
108	3	TEN	CIN	7	33
109	3	WAS	PHI	34	37
110	3	WAS	PHI	34	37
111	4	ATL	MIN	28	41
112	4	ATL	MIN	28	41
113	4	BUF	HOU	17	23
114	4	BUF	HOU	17	23
115	4	CAR	BAL	10	38
116	4	CAR	BAL	10	38
117	4	CAR	BAL	10	38
118	4	DET	NYJ	24	17
119	4	DET	NYJ	24	17
120	4	GB	CHI	38	17
121	4	GB	CHI	38	17
122	4	JAC	SD	14	33
123	4	JAC	SD	14	33
124	4	MIA	OAK	38	14
125	4	MIA	OAK	38	14
126	4	NE	KC	14	41
127	4	NE	KC	14	41
128	4	NO	DAL	17	38
129	4	NO	DAL	17	38
130	4	NYG	WAS	45	14
131	4	NYG	WAS	45	14
132	4	PHI	SF	21	26
133	4	PHI	SF	21	26
134	4	TB	PIT	27	24
135	4	TB	PIT	27	24
136	4	TEN	IND	17	41
137	4	TEN	ATL	17	41
